cpus=4
          stress-2707  [001]  9231.160330321:          sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2708  [001]  9233.395311442: (+8001889) sched_switch:         stress:2708 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.403336164: (+8024722) sched_switch:         stress:2709 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.411331016: (+7994852) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.419317405: (+7986389) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.419333720: (+16315) sched_switch:         stress:2708 [120] D ==> stress:2709 [120]
          stress-2709  [001]  9233.419372590: (+38870) sched_wakeup:         stress:2708 [120]<CANT FIND FIELD success> CPU:001
          stress-2709  [001]  9233.419376812: (+4222)  sched_switch:         stress:2709 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.427318775: (+7941963) sched_switch:         stress:2708 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.435396016: (+8077241) sched_switch:         stress:2709 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.443340386: (+7944370) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.445987312: (+2646926) sched_switch:         stress:2714 [120] D ==> stress:2708 [120]
          stress-2708  [001]  9233.446003627: (+16315) sched_switch:         stress:2708 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9233.446017886: (+14259) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9233.451338238: (+5320352) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.451355645: (+17407) sched_wakeup:         stress:2708 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.455330127: (+3974482) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.463328257: (+7998130) sched_switch:         stress:2708 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.471350016: (+8021759) sched_switch:         stress:2709 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.479332053: (+7982037) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.479353997: (+21944) sched_switch:         stress:2708 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9233.487352942: (+7998945) sched_switch:         stress:2712 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.495355238: (+8002296) sched_switch:         stress:2709 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.495387756: (+32518) sched_wakeup:         stress:2708 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.495391386: (+3630)  sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.503345034: (+7953648) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.511339942: (+7994908) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.519341460: (+8001518) sched_switch:         stress:2708 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.527360849: (+8019389) sched_switch:         stress:2712 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.535358664: (+7997815) sched_switch:         stress:2709 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.543347367: (+7988703) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.551349701: (+8002334) sched_switch:         stress:2708 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.559365997: (+8016296) sched_switch:         stress:2712 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.567369701: (+8003704) sched_switch:         stress:2709 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.575354219: (+7984518) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.583363108: (+8008889) sched_switch:         stress:2708 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.591372682: (+8009574) sched_switch:         stress:2712 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.599376997: (+8004315) sched_switch:         stress:2709 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.607363441: (+7986444) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.607388182: (+24741) sched_switch:         stress:2708 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9233.607492793: (+104611) sched_wakeup:         stress:2708 [120]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9233.611383052: (+3890259) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.619367330: (+7984278) sched_switch:         stress:2708 [120] R ==> stress:2709 [120]
          stress-2709  [001]  9233.627384997: (+8017667) sched_switch:         stress:2709 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.635383460: (+7998463) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.635443348: (+59888) sched_switch:         stress:2714 [120] D ==> stress:2708 [120]
          stress-2708  [001]  9233.635461386: (+18038) sched_switch:         stress:2708 [120] D ==> stress:2709 [120]
          stress-2709  [001]  9233.644934423: (+9473037) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2709  [001]  9233.644939034: (+4611)  sched_switch:         stress:2709 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.644948663: (+9629)  sched_wakeup:         stress:2708 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.651373700: (+6425037) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.659375830: (+8002130) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.667377311: (+8001481) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.675396885: (+8019574) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.683382978: (+7986093) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.691385071: (+8002093) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.699405126: (+8020055) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.707408089: (+8002963) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.707434682: (+26593) sched_switch:         stress:2714 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9233.719407033: (+11972351) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.719448552: (+41519) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2708  [001]  9233.719452367: (+3815)  sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.727392219: (+7939852) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.735408237: (+8016018) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.743395978: (+7987741) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.751398237: (+8002259) sched_switch:         stress:2708 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.759417144: (+8018907) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.767441422: (+8024278) sched_switch:         stress:2714 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.771447404: (+4005982) sched_switch:         stress:2708 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9233.779457978: (+8010574) sched_wakeup:         stress:2708 [120]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9233.779464681: (+6703)  sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.787407348: (+7942667) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.795408626: (+8001278) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.803426403: (+8017777) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.811413126: (+7986723) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.819414663: (+8001537) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.827473070: (+8058407) sched_switch:         stress:2712 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9233.835429292: (+7956222) sched_switch:         stress:2708 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.843421477: (+7992185) sched_switch:         stress:2714 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9233.851421588: (+8000111) sched_switch:         stress:2710 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.859439940: (+8018352) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.863451959: (+4012019) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.863459125: (+7166)  sched_switch:         stress:2714 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9233.863507237: (+48112) sched_switch:         kworker/1:0:2611 [120] D ==> stress:2710 [120]
          stress-2710  [001]  9233.863518607: (+11370) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9233.863521737: (+3130)  sched_switch:         stress:2710 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9233.863538218: (+16481) sched_switch:         kworker/1:0:2611 [120] W ==> stress:2710 [120]
          stress-2710  [001]  9233.871428422: (+7890204) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.879429051: (+8000629) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.887466088: (+8037037) sched_switch:         stress:2712 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9233.895431885: (+7965797) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.903442459: (+8010574) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.911453162: (+8010703) sched_switch:         stress:2712 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9233.919443366: (+7990204) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.927441273: (+7997907) sched_switch:         stress:2714 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9233.935501921: (+8060648) sched_switch:         stress:2712 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9233.943444014: (+7942093) sched_switch:         stress:2710 [120] R ==> kthreadd:2721 [120]
    kworker/2:0H-2721  [001]  9233.943454551: (+10537) sched_switch:         kthreadd:2721 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9233.943487070: (+32519) sched_switch:         stress:2714 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9233.951483014: (+7995944) sched_switch:         stress:2712 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9233.959451607: (+7968593) sched_switch:         stress:2715 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.959496569: (+44962) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9233.959500032: (+3463)  sched_switch:         stress:2707 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9233.959511810: (+11778) sched_switch:         kworker/1:0:2611 [120] W ==> stress:2707 [120]
          stress-2707  [001]  9233.967455218: (+7943408) sched_switch:         stress:2707 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9233.970745144: (+3289926) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9233.970749273: (+4129)  sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.970859569: (+110296) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.970864403: (+4834)  sched_switch:         stress:2714 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.970925199: (+60796) sched_switch:         kworker/1:1H:91 [100] D ==> stress:2714 [120]
          stress-2714  [001]  9233.970953755: (+28556) sched_switch:         stress:2714 [120] D ==> stress:2712 [120]
          stress-2712  [001]  9233.974783773: (+3830018) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9233.974797699: (+13926) sched_switch:         stress:2712 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.974839995: (+42296) sched_switch:         kworker/1:1H:91 [100] R ==> stress:2710 [120]
          stress-2710  [001]  9233.974851069: (+11074) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9233.974856643: (+5574)  sched_switch:         stress:2710 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.974905143: (+48500) sched_switch:         kworker/1:1H:91 [100] D ==> stress:2710 [120]
          stress-2710  [001]  9233.975028606: (+123463) sched_wakeup:         kworker/1:0H:2255 [100]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9233.975032532: (+3926)  sched_switch:         stress:2710 [120] R ==> kworker/1:0H:2255 [100]
    kworker/1:0H-2255  [001]  9233.975042977: (+10445) sched_switch:         kworker/1:0H:2255 [100] W ==> stress:2710 [120]
          stress-2710  [001]  9233.980190366: (+5147389) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9233.980195958: (+5592)  sched_switch:         stress:2710 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.980222440: (+26482) sched_switch:         kworker/1:1H:91 [100] R ==> stress:2712 [120]
          stress-2712  [001]  9233.980232625: (+10185) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9233.980237569: (+4944)  sched_switch:         stress:2712 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.980256736: (+19167) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9233.980287477: (+30741) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9233.980334995: (+47518) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2712 [120]
          stress-2712  [001]  9233.985559273: (+5224278) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2712  [001]  9233.985575588: (+16315) sched_switch:         stress:2712 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.985623792: (+48204) sched_switch:         kworker/1:1H:91 [100] R ==> stress:2715 [120]
          stress-2715  [001]  9233.985632495: (+8703)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2715  [001]  9233.985636680: (+4185)  sched_switch:         stress:2715 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.985663699: (+27019) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9233.985688773: (+25074) sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9233.985732532: (+43759) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9233.985752329: (+19797) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2714 [120]
          stress-2714  [001]  9233.985857532: (+105203) sched_wakeup:         kworker/u8:1:2244 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.985863792: (+6260)  sched_switch:         stress:2714 [120] R ==> kworker/u8:1:2244 [120]
    kworker/u8:1-2244  [001]  9233.985870940: (+7148)  sched_switch:         kworker/u8:1:2244 [120] W ==> stress:2714 [120]
          stress-2714  [001]  9233.985919940: (+49000) sched_switch:         stress:2714 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9233.987861829: (+1941889) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9233.987865162: (+3333)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.987958995: (+93833) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9233.987966199: (+7204)  sched_switch:         stress:2714 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9233.988022588: (+56389) sched_switch:         kworker/1:1H:91 [100] W ==> stress:2714 [120]
          stress-2714  [001]  9233.988053977: (+31389) sched_switch:         stress:2714 [120] D ==> stress:2715 [120]
          stress-2715  [001]  9233.990040347: (+1986370) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2715  [001]  9233.990054218: (+13871) sched_switch:         stress:2715 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.990070366: (+16148) sched_switch:         stress:2714 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9233.990174755: (+104389) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9233.990177292: (+2537)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9233.990199125: (+21833) sched_switch:         stress:2714 [120] D ==> stress:2715 [120]
          stress-2715  [001]  9233.995470477: (+5271352) sched_switch:         stress:2715 [120] R ==> stress:2707 [120]
          stress-2707  [001]  9233.999488995: (+4018518) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2707  [001]  9233.999491884: (+2889)  sched_switch:         stress:2707 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.011493569: (+12001685) sched_switch:         stress:2714 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.015480866: (+3987297) sched_switch:         stress:2710 [120] R ==> stress:2712 [120]
          stress-2712  [001]  9234.019494384: (+4013518) sched_switch:         stress:2712 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.019580662: (+86278) sched_switch:         stress:2714 [120] D ==> stress:2707 [120]
          stress-2707  [001]  9234.027476736: (+7896074) sched_switch:         stress:2707 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.027576995: (+100259) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9234.031481828: (+3904833) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.035493865: (+4012037) sched_switch:         stress:2714 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.047474995: (+11981130) sched_switch:         stress:2715 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.059488125: (+12013130) sched_switch:         stress:2714 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.071480476: (+11992351) sched_switch:         stress:2715 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.083490328: (+12009852) sched_switch:         stress:2714 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.095483291: (+11992963) sched_switch:         stress:2715 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.107494884: (+12011593) sched_switch:         stress:2714 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.119494458: (+11999574) sched_switch:         stress:2715 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.131564347: (+12069889) sched_switch:         stress:2714 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.135506198: (+3941851) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.139503032: (+3996834) sched_switch:         stress:2710 [120] R ==> stress:2708 [120]
          stress-2708  [001]  9234.143513050: (+4010018) sched_switch:         stress:2708 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.143576421: (+63371) sched_switch:         stress:2716 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9234.147507550: (+3931129) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.147597384: (+89834) sched_switch:         stress:2714 [120] D ==> stress:2715 [120]
          stress-2715  [001]  9234.155503106: (+7905722) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.167504606: (+12001500) sched_switch:         stress:2710 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.167538384: (+33778) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2715  [001]  9234.167541995: (+3611)  sched_switch:         stress:2715 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.167550698: (+8703)  sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9234.175513995: (+7963297) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.175539476: (+25481) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9234.175551772: (+12296) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9234.175554291: (+2519)  sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.183514828: (+7960537) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.191531883: (+8017055) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.199518976: (+7987093) sched_switch:         stress:2714 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.207526180: (+8007204) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.215531420: (+8005240) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.223534568: (+8003148) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.223601439: (+66871) sched_switch:         stress:2716 [120] D ==> stress:2715 [120]
          stress-2715  [001]  9234.231533587: (+7932148) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.239533050: (+7999463) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.239574476: (+41426) sched_switch:         stress:2714 [120] D ==> stress:2715 [120]
          stress-2715  [001]  9234.243550624: (+3976148) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2715  [001]  9234.243555457: (+4833)  sched_switch:         stress:2715 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.247576161: (+4020704) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9234.251535865: (+3959704) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.259532716: (+7996851) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.267535050: (+8002334) sched_switch:         stress:2716 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.275534420: (+7999370) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.283532716: (+7998296) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.291541920: (+8009204) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.299543309: (+8001389) sched_switch:         stress:2716 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.307538457: (+7995148) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.315553920: (+8015463) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.323541901: (+7987981) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.331550587: (+8008686) sched_switch:         stress:2716 [120] R ==> stress:2715 [120]
          stress-2715  [001]  9234.339547920: (+7997333) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.347546957: (+7999037) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.347614235: (+67278) sched_switch:         stress:2714 [120] D ==> stress:2716 [120]
          stress-2716  [001]  9234.347634735: (+20500) sched_switch:         stress:2716 [120] D ==> stress:2715 [120]
          stress-2715  [001]  9234.359545679: (+11910944) sched_switch:         stress:2715 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.359561568: (+15889) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9234.359566124: (+4556)  sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.359576864: (+10740) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9234.367549309: (+7972445) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.375563364: (+8014055) sched_switch:         stress:2716 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.383557994: (+7994630) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.391555734: (+7997740) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.399558123: (+8002389) sched_switch:         stress:2716 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.407562994: (+8004871) sched_switch:         stress:2710 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.407582809: (+19815) sched_switch:         stress:2714 [120] D ==> stress:2715 [120]
          stress-2715  [001]  9234.415564734: (+7981925) sched_switch:         stress:2715 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.419592716: (+4027982) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9234.419597531: (+4815)  sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.419621605: (+24074) sched_switch:         stress:2714 [120] D ==> stress:2710 [120]
          stress-2710  [001]  9234.427561327: (+7939722) sched_switch:         stress:2710 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.427579660: (+18333) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9234.427582716: (+3056)  sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.435575142: (+7992426) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.435586234: (+11092) sched_switch:         stress:2716 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9234.435597975: (+11741) sched_switch:         stress:2714 [120] D ==> stress:2710 [120]
          stress-2710  [001]  9234.435616031: (+18056) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2710  [001]  9234.435619327: (+3296)  sched_switch:         stress:2710 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.435642197: (+22870) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9234.443568512: (+7926315) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.451569105: (+8000593) sched_switch:         stress:2714 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.459569345: (+8000240) sched_switch:         stress:2710 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.467590697: (+8021352) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9234.475575216: (+7984519) sched_switch:         stress:2714 [120] R ==> stress:2710 [120]
          stress-2710  [001]  9234.483582401: (+8007185) sched_switch:         stress:2710 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9234.483665475: (+83074) sched_switch:         stress:2716 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9234.491596623: (+7931148) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9234.491601049: (+4426)  sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
