cpus=4
       trace-cmd-2705  [000]  9231.160313395:          sched_switch:         trace-cmd:2705 [120] S ==> stress:2708 [120]
          stress-2708  [000]  9231.161619432: (+8667)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161624062: (+4630)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161638284: (+14222) sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161647376: (+9092)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161651543: (+4167)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161660728: (+9185)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161669432: (+8704)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161673488: (+4056)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161683043: (+9555)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161691839: (+8796)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161695932: (+4093)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161704895: (+8963)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161713451: (+8556)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161717580: (+4129)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161726710: (+9130)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161735451: (+8741)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161739562: (+4111)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161748654: (+9092)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161757228: (+8574)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161761302: (+4074)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161775562: (+14260) sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161784506: (+8944)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161788710: (+4204)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161797654: (+8944)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161806247: (+8593)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161810284: (+4037)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161819525: (+9241)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161828136: (+8611)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161832247: (+4111)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161841525: (+9278)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161850117: (+8592)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161854228: (+4111)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161863302: (+9074)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161871858: (+8556)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161875876: (+4018)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161885432: (+9556)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161894006: (+8574)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161898210: (+4204)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161912543: (+14333) sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161921247: (+8704)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161925376: (+4129)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161934488: (+9112)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161943228: (+8740)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161947210: (+3982)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161956525: (+9315)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161965154: (+8629)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161969062: (+3908)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.161978006: (+8944)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.161989228: (+11222) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.161993284: (+4056)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.162002321: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.162011043: (+8722)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-2708  [000]  9231.162015080: (+4037)  sched_switch:         stress:2708 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9231.162024525: (+9445)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:2708 [120]
          stress-2708  [000]  9231.162033062: (+8537)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
