cpus=4
          stress-2710  [002]  9231.160293599:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.221125765: (+2317630) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.221129802: (+4037)  sched_switch:         stress:2712 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.221181117: (+51315) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.221187895: (+6778)  sched_switch:         stress:2711 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.221226950: (+39055) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.222775895: (+1548945) sched_wakeup:         kworker/2:0:2671 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.222779210: (+3315)  sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.222786543: (+7333)  sched_switch:         stress:2711 [120] R ==> kworker/2:0:2671 [120]
     kworker/2:0-2671  [002]  9231.222811228: (+24685) sched_switch:         kworker/2:0:2671 [120] W ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9231.222823487: (+12259) sched_switch:         rcu_preempt:13 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.230762413: (+7938926) sched_switch:         stress:2711 [120] R ==> stress:2710 [120]
          stress-2710  [002]  9231.238762598: (+8000185) sched_switch:         stress:2710 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.244297358: (+5534760) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.244302450: (+5092)  sched_switch:         stress:2711 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.244344802: (+42352) sched_switch:         ngrok:552 [120] S ==> stress:2712 [120]
          stress-2712  [002]  9231.245140765: (+795963) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.245149339: (+8574)  sched_switch:         stress:2712 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.245172543: (+23204) sched_switch:         ngrok:515 [120] S ==> stress:2712 [120]
          stress-2712  [002]  9231.245389802: (+217259) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.245394821: (+5019)  sched_switch:         stress:2712 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.245425617: (+30796) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9231.245454469: (+28852) sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [002]  9231.245473598: (+19129) sched_switch:         ngrok:555 [120] S ==> stress:2712 [120]
          stress-2712  [002]  9231.250782469: (+5308871) sched_switch:         stress:2712 [120] R ==> stress:2709 [120]
          stress-2709  [002]  9231.255231746: (+4449277) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.255237543: (+5797)  sched_switch:         stress:2709 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.255265376: (+27833) sched_switch:         ngrok:515 [120] S ==> stress:2711 [120]
          stress-2711  [002]  9231.262771413: (+7506037) sched_switch:         stress:2711 [120] R ==> stress:2710 [120]
          stress-2710  [002]  9231.270770839: (+7999426) sched_switch:         stress:2710 [120] R ==> stress:2712 [120]
          stress-2712  [002]  9231.278788932: (+8018093) sched_switch:         stress:2712 [120] R ==> stress:2709 [120]
          stress-2709  [002]  9231.286790339: (+8001407) sched_switch:         stress:2709 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.294517617: (+7727278) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.294522469: (+4852)  sched_switch:         stress:2711 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.294568691: (+46222) sched_switch:         ngrok:552 [120] S ==> stress:2710 [120]
          stress-2710  [002]  9231.295148931: (+580240) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.295152598: (+3667)  sched_switch:         stress:2710 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.295170006: (+17408) sched_switch:         ngrok:515 [120] S ==> stress:2712 [120]
          stress-2712  [002]  9231.295611931: (+441925) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2712  [002]  9231.295618617: (+6686)  sched_switch:         stress:2712 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.295649931: (+31314) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9231.295674357: (+24426) sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [002]  9231.295697172: (+22815) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002]  9231.295711802: (+14630) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9231.295740635: (+28833) sched_switch:         ngrok:552 [120] S ==> stress:2710 [120]
          stress-2710  [002]  9231.302779024: (+7038389) sched_switch:         stress:2710 [120] R ==> stress:2709 [120]
          stress-2709  [002]  9231.305232024: (+2453000) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.305241246: (+9222)  sched_switch:         stress:2709 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.305265265: (+24019) sched_switch:         ngrok:515 [120] S ==> stress:2712 [120]
          stress-2712  [002]  9231.310812839: (+5547574) sched_switch:         stress:2712 [120] R ==> stress:2709 [120]
          stress-2709  [002]  9231.318797765: (+7984926) sched_switch:         stress:2709 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.326788394: (+7990629) sched_switch:         stress:2711 [120] R ==> stress:2712 [120]
          stress-2712  [002]  9231.334803765: (+8015371) sched_switch:         stress:2712 [120] R ==> stress:2710 [120]
          stress-2710  [002]  9231.342790079: (+7986314) sched_switch:         stress:2710 [120] R ==> stress:2709 [120]
          stress-2709  [002]  9231.344813005: (+2022926) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.344823635: (+10630) sched_switch:         stress:2709 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.344870302: (+46667) sched_switch:         ngrok:552 [120] S ==> stress:2709 [120]
          stress-2709  [002]  9231.345165024: (+294722) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
