cpus=4
   task_server.a-2614  [003]  9231.160485302:          sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
   task_server.a-2614  [003]  9231.175750413: (+704574) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.175761932: (+11519) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.175772173: (+10241) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.176473506: (+701333) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.176487969: (+14463) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.176498376: (+10407) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.177204821: (+706445) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.177217210: (+12389) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.177228413: (+11203) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.177934784: (+706371) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.177946636: (+11852) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.177958062: (+11426) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.178664136: (+706074) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.178676062: (+11926) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.178687321: (+11259) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.179423136: (+735815) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.179440228: (+17092) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.179454469: (+14241) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.180161599: (+707130) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.180176247: (+14648) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.180189210: (+12963) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.180899339: (+710129) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.180913673: (+14334) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.180925210: (+11537) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.181632487: (+707277) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.181647025: (+14538) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.181658710: (+11685) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.182373228: (+714518) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.182393728: (+20500) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.182407654: (+13926) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.183146969: (+739315) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.183163210: (+16241) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.183175765: (+12555) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.183880728: (+704963) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.183893117: (+12389) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.183906265: (+13148) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.184611636: (+705371) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.184622765: (+11129) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.184632636: (+9871)  sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.185332562: (+699926) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.185342247: (+9685)  sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.185352265: (+10018) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.186051821: (+699556) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.186061580: (+9759)  sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.186071432: (+9852)  sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.186805006: (+733574) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.186820654: (+15648) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.186832784: (+12130) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.187536562: (+703778) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.187547506: (+10944) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.187558376: (+10870) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.188261487: (+703111) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.188273765: (+12278) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.188284228: (+10463) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.188992099: (+707871) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.189004673: (+12574) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.189018302: (+13629) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.189720191: (+701889) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.189730487: (+10296) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.189740895: (+10408) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.190442376: (+701481) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.190452099: (+9723)  sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.190461728: (+9629)  sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.191182506: (+720778) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.191194469: (+11963) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.191205099: (+10630) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.191909728: (+704629) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.191924932: (+15204) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.191936136: (+11204) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.192640210: (+704074) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.192653765: (+13555) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.192665932: (+12167) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.193370173: (+704241) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.193384580: (+14407) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.193395932: (+11352) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.194099932: (+704000) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.194111913: (+11981) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.194123080: (+11167) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.194852006: (+728926) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.194867136: (+15130) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.194879617: (+12481) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.195579987: (+700370) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.195590543: (+10556) sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.195600876: (+10333) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
   task_server.a-2614  [003]  9231.196303950: (+703074) sched_switch:         task_server.a:2614 [0] R ==> task_client_A.a:2616 [0]
 task_client_A.a-2616  [003]  9231.196313913: (+9963)  sched_switch:         task_client_A.a:2616 [0] R ==> task_client_B.a:2618 [0]
 task_client_B.a-2618  [003]  9231.196323950: (+10037) sched_switch:         task_client_B.a:2618 [0] R ==> task_server.a:2614 [0]
