cpus=4
           <...>-3100  [001] 14509.399131241:          sched_switch:         trace-cmd:3100 [120] S ==> swapper/1:0 [120]
           ngrok-515   [001] 14509.867538443: (+10166) sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14509.867897610: (+359167) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14509.867902332: (+4722)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14509.867970369: (+68037) sched_wakeup:         trace-cmd:3098 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14509.868058851: (+88482) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14509.877590443: (+9531592) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14509.877595888: (+5445)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14509.877607128: (+11240) sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14509.917526480: (+39919352) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14509.917532425: (+5945)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14509.917544295: (+11870) sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14509.927594962: (+10050667) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14509.927599832: (+4870)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14509.927608313: (+8481)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14509.967534369: (+39926056) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14509.967539332: (+4963)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14509.967547721: (+8389)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14509.977598572: (+10050851) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14509.977603332: (+4760)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14509.977611517: (+8185)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14510.017543998: (+39932481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14510.017549776: (+5778)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14510.017560869: (+11093) sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14510.027611350: (+10050481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14510.027616461: (+5111)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14510.027625443: (+8982)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14510.067553442: (+39927999) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14510.067558368: (+4926)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14510.067566239: (+7871)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14510.077616924: (+10050685) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14510.077621831: (+4907)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14510.077629979: (+8148)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14510.117561498: (+39931519) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14510.117567442: (+5944)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14510.117575961: (+8519)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14510.127626498: (+10050537) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14510.127631387: (+4889)  sched_switch:         swapper/1:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14510.127639664: (+8277)  sched_switch:         ngrok:515 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14510.133286646: (+5646982) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14510.133294164: (+7518)  sched_switch:         swapper/1:0 [120] R ==> kworker/1:2:2867 [120]
