cpus=4
       trace-cmd-3101  [000] 14509.398985723:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.884750962: (+16689667) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14509.888906462: (+4155500) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.918110239: (+29203777) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.918116554: (+6315)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14509.918137536: (+20982) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14509.968277924: (+50140388) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14509.968282332: (+4408)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14509.968312591: (+30259) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.007375813: (+39063222) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.011646461: (+4270648) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.018505109: (+6858648) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.018511035: (+5926)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.018530998: (+19963) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.067665183: (+49134185) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.067669998: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.067697257: (+27259) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.117870461: (+50173204) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.117875109: (+4648)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.117883720: (+8611)  sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.130174127: (+12290407) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.133237461: (+3063334) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14510.133264201: (+26740) sched_switch:         trace-cmd:3101 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14510.133303757: (+39556) sched_switch:         kworker/0:0:2872 [120] W ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.134538016: (+1234259) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.168052535: (+33514519) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.168058498: (+5963)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.168095664: (+37166) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.218259053: (+50163389) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.218264146: (+5093)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.218273201: (+9055)  sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.251592423: (+33319222) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.255837460: (+4245037) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.268445016: (+12607556) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.268451201: (+6185)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.268487979: (+36778) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.317594812: (+49106833) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.317599979: (+5167)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.317615367: (+15388) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.367757404: (+50142037) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.367762052: (+4648)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.367782089: (+20037) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.374367256: (+6585167) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.378617886: (+4250630) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.417969997: (+39352111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.417976219: (+6222)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.417995293: (+19074) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.468128404: (+50133111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.468133274: (+4870)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.468160534: (+27260) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.497029811: (+28869277) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.501255682: (+4225871) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.518373867: (+17118185) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.518379589: (+5722)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.518397478: (+17889) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.568546441: (+50148963) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.568551292: (+4851)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.568573533: (+22241) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.617668700: (+49095167) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.617673366: (+4666)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.617682626: (+9260)  sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.619833903: (+2151277) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.624137533: (+4303630) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.624752607: (+615074) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.624763533: (+10926) sched_switch:         swapper/0:0 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14510.624788792: (+25259) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14510.624813311: (+24519) sched_switch:         kworker/0:1H:67 [100] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.626977811: (+2164500) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.626983200: (+5389)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14510.626993126: (+9926)  sched_switch:         kworker/0:1H:67 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.626998718: (+5592)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.627001663: (+2945)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1H:67 [100]
