cpus=4
          <idle>-0     [000]  9142.037082735:          sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9142.918473658: (+13667) sched_switch:         kworker/0:1H:67 [100] W ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000]  9142.918504287: (+30629) sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000]  9142.918517028: (+12741) sched_switch:         ksoftirqd/0:12 [120] S ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9142.918591380: (+74352) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 jbd2/mmcblk0p2--93    [000]  9142.918598880: (+7500)  sched_switch:         jbd2/mmcblk0p2-:93 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9142.918638972: (+40092) sched_switch:         kworker/0:1H:67 [100] W ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9142.918649750: (+10778) sched_switch:         jbd2/mmcblk0p2-:93 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.920668620: (+2018870) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.920673972: (+5352)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9142.920683787: (+9815)  sched_switch:         kworker/0:1H:67 [100] D ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.920689380: (+5593)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.920692287: (+2907)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9142.920697435: (+5148)  sched_wakeup:         ksoftirqd/0:12 [120]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000]  9142.920705546: (+8111)  sched_switch:         kworker/0:1H:67 [100] W ==> ksoftirqd/0:12 [120]
     ksoftirqd/0-12    [000]  9142.920711546: (+6000)  sched_wakeup:         jbd2/mmcblk0p2-:93 [120]<CANT FIND FIELD success> CPU:000
     ksoftirqd/0-12    [000]  9142.920716880: (+5334)  sched_switch:         ksoftirqd/0:12 [120] S ==> jbd2/mmcblk0p2-:93 [120]
 jbd2/mmcblk0p2--93    [000]  9142.920778065: (+61185) sched_switch:         jbd2/mmcblk0p2-:93 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.952299343: (+31521278) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.952304806: (+5463)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.952337787: (+32981) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9142.953383306: (+1045519) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9142.953388120: (+4814)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9142.953433546: (+45426) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.002484287: (+49050741) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.002489528: (+5241)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.002507639: (+18111) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.003555972: (+1048333) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.003560916: (+4944)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.003588416: (+27500) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.003602435: (+14019) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.003606842: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.003633676: (+26834) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.052685305: (+49051629) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.052692435: (+7130)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.052718564: (+26129) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.053765176: (+1046612) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
