cpus=4
       trace-cmd-3532  [002] 14846.206871531:          sched_switch:         trace-cmd:3532 [120] S ==> stress:3542 [120]
           ngrok-515   [002] 14846.921694102: (+19370) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.929317954: (+7623852) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.931747398: (+2429444) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3542  [002] 14846.931752028: (+4630)  sched_switch:         stress:3542 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.931771898: (+19870) sched_switch:         ngrok:515 [120] S ==> stress:3539 [120]
          stress-3539  [002] 14846.941318046: (+9546148) sched_switch:         stress:3539 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.949302306: (+7984260) sched_switch:         stress:3542 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14846.957316528: (+8014222) sched_switch:         stress:3536 [120] R ==> stress:3542 [120]
          stress-3542  [002] 14846.965318731: (+8002203) sched_switch:         stress:3542 [120] R ==> stress:3539 [120]
          stress-3539  [002] 14846.971679750: (+6361019) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3539  [002] 14846.971686917: (+7167)  sched_switch:         stress:3539 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.971710880: (+23963) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14846.980947398: (+9236518) sched_wakeup:         trace-cmd:3547 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14846.980953250: (+5852)  sched_switch:         stress:3536 [120] R ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.981766861: (+813611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
       trace-cmd-3547  [002] 14846.981774287: (+7426)  sched_switch:         trace-cmd:3547 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14846.981803157: (+28870) sched_switch:         ngrok:515 [120] S ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14846.985381342: (+3578185) sched_switch:         trace-cmd:3547 [120] S ==> stress:3539 [120]
          stress-3539  [002] 14846.997321620: (+11940278) sched_switch:         stress:3539 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14847.009330305: (+12008685) sched_switch:         stress:3536 [120] R ==> stress:3539 [120]
          stress-3539  [002] 14847.021324898: (+11994593) sched_switch:         stress:3539 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14847.021685287: (+360389) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.021691176: (+5889)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14847.021718787: (+27611) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14847.031783527: (+10064740) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.031795602: (+12075) sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14847.031827194: (+31592) sched_switch:         ngrok:515 [120] S ==> stress:3539 [120]
          stress-3539  [002] 14847.033369879: (+1542685) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3539  [002] 14847.033376527: (+6648)  sched_switch:         stress:3539 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14847.033396861: (+20334) sched_switch:         rcu_preempt:13 [120] W ==> stress:3539 [120]
