cpus=4
          <idle>-0     [001] 14812.272499604:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14812.820239065: (+21537) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.868289306: (+48050241) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.868294491: (+5185)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14812.868309232: (+14741) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14812.869358195: (+1048963) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14812.869362936: (+4741)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14812.869500639: (+137703) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.218939508: (+349438869) sched_wakeup:         kworker/1:0:3465 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.218955416: (+15908) sched_switch:         swapper/1:0 [120] R ==> kworker/1:0:3465 [120]
     kworker/1:0-3465  [001] 14813.219000230: (+44814) sched_wakeup:         kworker/1:1:3037 [120]<CANT FIND FIELD success> CPU:001
     kworker/1:0-3465  [001] 14813.219004527: (+4297)  sched_switch:         kworker/1:0:3465 [120] D ==> kworker/1:1:3037 [120]
     kworker/1:1-3037  [001] 14813.219012879: (+8352)  sched_wakeup:         kworker/1:0:3465 [120]<CANT FIND FIELD success> CPU:001
     kworker/1:1-3037  [001] 14813.219020323: (+7444)  sched_switch:         kworker/1:1:3037 [120] W ==> kworker/1:0:3465 [120]
     kworker/1:0-3465  [001] 14813.219036212: (+15889) sched_switch:         kworker/1:0:3465 [120] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.323423286: (+104387074) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.323429119: (+5833)  sched_switch:         swapper/1:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14813.323442249: (+13130) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.323552786: (+110537) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.323557489: (+4703)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.323581452: (+23963) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
