cpus=4
          <idle>-0     [000] 14880.765691584:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.074612527: (+5907)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.074641638: (+29111) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.123685638: (+49044000) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.123690453: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.123703157: (+12704) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.124752083: (+1048926) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.124756786: (+4703)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.124776564: (+19778) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.124786953: (+10389) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.124791194: (+4241)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.124810675: (+19481) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.173859731: (+49049056) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.173864453: (+4722)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.173876119: (+11666) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.174925175: (+1049056) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.174929749: (+4574)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.174949619: (+19870) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.223998564: (+49048945) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.224003360: (+4796)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.224015490: (+12130) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.225064416: (+1048926) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.225068990: (+4574)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.225089082: (+20092) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.225099416: (+10334) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.225103582: (+4166)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.225122730: (+19148) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.274171934: (+49049204) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.274176582: (+4648)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.274188360: (+11778) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.275237452: (+1049092) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.275242026: (+4574)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.275260915: (+18889) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.324309711: (+49048796) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.324314526: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.324334582: (+20056) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.324343674: (+9092)  sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.324347823: (+4149)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.324365878: (+18055) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.373415193: (+49049315) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.373419915: (+4722)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.373431545: (+11630) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.374480582: (+1049037) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.374485193: (+4611)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.374503878: (+18685) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.423553007: (+49049129) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.423557767: (+4760)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.423570193: (+12426) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.424619063: (+1048870) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.424623674: (+4611)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.424643600: (+19926) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.424652989: (+9389)  sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.424657230: (+4241)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.424675970: (+18740) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.473725192: (+49049222) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.473729915: (+4723)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.473741618: (+11703) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.474790600: (+1048982) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.474795155: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.474813915: (+18760) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.523862600: (+49048685) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.523867322: (+4722)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
           ngrok-553   [000] 14881.523879322: (+12000) sched_switch:         ngrok:553 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14881.524928507: (+1049185) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14881.524933063: (+4556)  sched_switch:         swapper/0:0 [120] R ==> ngrok:553 [120]
