cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.324617527: (+5907)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.325655453: (+1037926) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.325660731: (+5278)  sched_switch:         stress:3676 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14905.325687731: (+27000) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14905.325711768: (+24037) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14905.325728601: (+16833) sched_switch:         ngrok:553 [120] S ==> stress:3679 [120]
          stress-3679  [002] 14905.329162787: (+3434186) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.333160583: (+3997796) sched_switch:         stress:3676 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.337159749: (+3999166) sched_switch:         stress:3673 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.337164324: (+4575)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.337167435: (+3111)  sched_switch:         stress:3679 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [002] 14905.337188009: (+20574) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14905.337199379: (+11370) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.337202416: (+3037)  sched_switch:         stress:3679 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [002] 14905.337209694: (+7278)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> stress:3679 [120]
