cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14907.925840740: (+29074) sched_switch:         ngrok:553 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14907.933115425: (+7274685) sched_switch:         stress:3677 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14907.941100480: (+7985055) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14907.949119999: (+8019519) sched_switch:         stress:3674 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14907.957253906: (+8133907) sched_switch:         stress:3677 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14907.965102054: (+7848148) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14907.973119702: (+8017648) sched_switch:         stress:3674 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14907.974904721: (+1785019) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14907.974916054: (+11333) sched_switch:         stress:3677 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14907.974966980: (+50926) sched_switch:         ngrok:553 [120] S ==> stress:3680 [120]
          stress-3680  [002] 14907.976006832: (+1039852) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14907.976011221: (+4389)  sched_switch:         stress:3680 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14907.976036517: (+25296) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14907.976061295: (+24778) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14907.976080406: (+19111) sched_switch:         ngrok:555 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14907.985127054: (+9046648) sched_switch:         stress:3677 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14907.993100406: (+7973352) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.001118091: (+8017685) sched_switch:         stress:3674 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.009098573: (+7980482) sched_switch:         stress:3680 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14908.013142258: (+4043685) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14908.013148906: (+6648)  sched_switch:         stress:3677 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14908.013173443: (+24537) sched_switch:         rcu_preempt:13 [120] W ==> stress:3674 [120]
          stress-3674  [002] 14908.021123091: (+7949648) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.021159628: (+36537) sched_switch:         stress:3674 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14908.021174758: (+15130) sched_switch:         rcu_preempt:13 [120] W ==> stress:3677 [120]
          stress-3677  [002] 14908.025121998: (+3947240) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14908.025129295: (+7297)  sched_switch:         stress:3677 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.025179813: (+50518) sched_switch:         ngrok:553 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.026222813: (+1043000) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.026227276: (+4463)  sched_switch:         stress:3675 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.026256887: (+29611) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.026278295: (+21408) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.026301684: (+23389) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14908.026316480: (+14796) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14908.026345535: (+29055) sched_switch:         ngrok:553 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.033104239: (+6758704) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.041098776: (+7994537) sched_switch:         stress:3680 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14908.049114665: (+8015889) sched_switch:         stress:3677 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.057117795: (+8003130) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.065098239: (+7980444) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.073097795: (+7999556) sched_switch:         stress:3680 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14908.075401980: (+2304185) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14908.075412128: (+10148) sched_switch:         stress:3677 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.075457183: (+45055) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.075493906: (+36723) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.075512998: (+19092) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14908.077135906: (+1622908) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.077139943: (+4037)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.077144795: (+4852)  sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14908.077163646: (+18851) sched_switch:         kworker/2:1:3243 [120] W ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002] 14908.077181350: (+17704) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14908.085113276: (+7931926) sched_switch:         stress:3677 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.093112332: (+7999056) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.101097869: (+7985537) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.105105369: (+4007500) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14908.105111480: (+6111)  sched_switch:         stress:3680 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14908.105137535: (+26055) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3677 [120]
          stress-3677  [002] 14908.113113906: (+7976371) sched_switch:         stress:3677 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.121096813: (+7982907) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.124560498: (+3463685) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.124575146: (+14648) sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.124628554: (+53408) sched_switch:         ngrok:553 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.125667702: (+1039148) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.125671035: (+3333)  sched_switch:         stress:3675 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.125700646: (+29611) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.125722572: (+21926) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.125745054: (+22482) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14908.125759276: (+14222) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14908.125787313: (+28037) sched_switch:         ngrok:553 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.133097017: (+7309704) sched_switch:         stress:3675 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.141113072: (+8016055) sched_switch:         stress:3674 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14908.149116850: (+8003778) sched_switch:         stress:3677 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.157096239: (+7979389) sched_switch:         stress:3680 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.165095535: (+7999296) sched_switch:         stress:3675 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.173151424: (+8055889) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.173162702: (+11278) sched_switch:         stress:3674 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14908.173190350: (+27648) sched_switch:         rcu_preempt:13 [120] W ==> stress:3680 [120]
          stress-3680  [002] 14908.174845109: (+1654759) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14908.174855202: (+10093) sched_switch:         stress:3680 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.174925831: (+70629) sched_switch:         ngrok:553 [120] S ==> stress:3680 [120]
          stress-3680  [002] 14908.175963609: (+1037778) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14908.175968590: (+4981)  sched_switch:         stress:3680 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.176009831: (+41241) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.176048720: (+38889) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.176076905: (+28185) sched_switch:         ngrok:555 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.185111665: (+9034760) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.185117331: (+5666)  sched_switch:         stress:3675 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14908.185131720: (+14389) sched_switch:         rcu_preempt:13 [120] W ==> stress:3680 [120]
          stress-3680  [002] 14908.193095776: (+7964056) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.201114053: (+8018277) sched_switch:         stress:3674 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.209095350: (+7981297) sched_switch:         stress:3680 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.217099535: (+8004185) sched_switch:         stress:3675 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.225113387: (+8013852) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.225124683: (+11296) sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.225172109: (+47426) sched_switch:         ngrok:553 [120] S ==> stress:3680 [120]
          stress-3680  [002] 14908.226213850: (+1041741) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14908.226217979: (+4129)  sched_switch:         stress:3680 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.226244350: (+26371) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.226265127: (+20777) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.226286887: (+21760) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14908.226301720: (+14833) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14908.226329664: (+27944) sched_switch:         ngrok:553 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.233094238: (+6764574) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.241097498: (+8003260) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.249112683: (+8015185) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.257093905: (+7981222) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.265107331: (+8013426) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.273110331: (+8003000) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.275386275: (+2275944) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.275391183: (+4908)  sched_switch:         stress:3675 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.275432942: (+41759) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.275467275: (+34333) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.275489331: (+22056) sched_switch:         ngrok:555 [120] S ==> stress:3680 [120]
          stress-3680  [002] 14908.285092960: (+9603629) sched_switch:         stress:3680 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.293092516: (+7999556) sched_switch:         stress:3675 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.301108460: (+8015944) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.309093201: (+7984741) sched_switch:         stress:3675 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.313129664: (+4036463) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.313142331: (+12667) sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14908.313174664: (+32333) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3680 [120]
          stress-3680  [002] 14908.321097145: (+7922481) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.324525238: (+3428093) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.324538071: (+12833) sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.324608312: (+70241) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14908.325650831: (+1042519) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.325657849: (+7018)  sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.325698886: (+41037) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.325728034: (+29148) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.325760886: (+32852) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14908.325777164: (+16278) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14908.325814831: (+37667) sched_switch:         ngrok:553 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.329113608: (+3298777) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.329120238: (+6630)  sched_switch:         stress:3675 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002] 14908.329136868: (+16630) sched_switch:         kcompactd0:43 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14908.337108331: (+7971463) sched_switch:         stress:3674 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.345091868: (+7983537) sched_switch:         stress:3680 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.353093145: (+8001277) sched_switch:         stress:3675 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.361104997: (+8011852) sched_switch:         stress:3674 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.369095497: (+7990500) sched_switch:         stress:3680 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.374863367: (+5767870) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.374868108: (+4741)  sched_switch:         stress:3675 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.374917886: (+49778) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14908.375963756: (+1045870) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.375971682: (+7926)  sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.376001516: (+29834) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.376026979: (+25463) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.376045108: (+18129) sched_switch:         ngrok:555 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.385094201: (+9049093) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.393091219: (+7997018) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.401105738: (+8014519) sched_switch:         stress:3674 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.409090053: (+7984315) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.417105071: (+8015018) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.425086238: (+7981167) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.425099849: (+13611) sched_switch:         stress:3675 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.425164312: (+64463) sched_switch:         ngrok:553 [120] S ==> stress:3680 [120]
          stress-3680  [002] 14908.426202886: (+1038574) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14908.426209349: (+6463)  sched_switch:         stress:3680 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.426247164: (+37815) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.426275423: (+28259) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.426304423: (+29000) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14908.426322312: (+17889) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14908.426358071: (+35759) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14908.433103904: (+6745833) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.441090182: (+7986278) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.449090867: (+8000685) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.457103515: (+8012648) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.465089904: (+7986389) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.473092275: (+8002371) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.475422812: (+2330537) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.475437386: (+14574) sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.475498497: (+61111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.475551182: (+52685) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.475580960: (+29778) sched_switch:         ngrok:555 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.485089774: (+9508814) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.493092645: (+8002871) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.501105367: (+8012722) sched_switch:         stress:3674 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.509088441: (+7983074) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.517119552: (+8031111) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.517133071: (+13519) sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14908.517173848: (+40777) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3675 [120]
          stress-3675  [002] 14908.524596534: (+7422686) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.524600274: (+3740)  sched_switch:         stress:3675 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.524642441: (+42167) sched_switch:         ngrok:553 [120] S ==> stress:3680 [120]
          stress-3680  [002] 14908.525684534: (+1042093) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14908.525687774: (+3240)  sched_switch:         stress:3680 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.525714145: (+26371) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.525734960: (+20815) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.525756571: (+21611) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14908.525770145: (+13574) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14908.525798015: (+27870) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14908.533102774: (+7304759) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.541087867: (+7985093) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.549091459: (+8003592) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.557103830: (+8012371) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.565087682: (+7983852) sched_switch:         stress:3675 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14908.573089182: (+8001500) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.574857811: (+1768629) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14908.574867145: (+9334)  sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.574910237: (+43092) sched_switch:         ngrok:553 [120] S ==> stress:3675 [120]
          stress-3675  [002] 14908.575952089: (+1041852) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.575956793: (+4704)  sched_switch:         stress:3675 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.575980941: (+24148) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.576005219: (+24278) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.576022015: (+16796) sched_switch:         ngrok:555 [120] S ==> stress:3680 [120]
          stress-3680  [002] 14908.581088404: (+5066389) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.589102274: (+8013870) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.597089700: (+7987426) sched_switch:         stress:3675 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14908.605088830: (+7999130) sched_switch:         stress:3673 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.613103033: (+8014203) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.621111237: (+8008204) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3675  [002] 14908.621119126: (+7889)  sched_switch:         stress:3675 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14908.621144755: (+25629) sched_switch:         kworker/2:1:3243 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14908.621154663: (+9908)  sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14908.621158867: (+4204)  sched_switch:         stress:3673 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14908.621169181: (+10314) sched_switch:         kworker/2:1:3243 [120] D ==> stress:3673 [120]
          stress-3673  [002] 14908.621175607: (+6426)  sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14908.621178737: (+3130)  sched_switch:         stress:3673 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14908.621190274: (+11537) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3673 [120]
          stress-3673  [002] 14908.625057070: (+3866796) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14908.625064126: (+7056)  sched_switch:         stress:3673 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.625112478: (+48352) sched_switch:         ngrok:553 [120] S ==> stress:3673 [120]
          stress-3673  [002] 14908.626158737: (+1046259) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14908.626163181: (+4444)  sched_switch:         stress:3673 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.626192367: (+29186) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.626211589: (+19222) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.626232922: (+21333) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14908.626247052: (+14130) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14908.626275070: (+28018) sched_switch:         ngrok:553 [120] S ==> stress:3673 [120]
          stress-3673  [002] 14908.633090533: (+6815463) sched_switch:         stress:3673 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.641102311: (+8011778) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.649085978: (+7983667) sched_switch:         stress:3675 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14908.657111237: (+8025259) sched_switch:         stress:3673 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14908.665101218: (+7989981) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
          stress-3675  [002] 14908.673085681: (+7984463) sched_switch:         stress:3675 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14908.675333385: (+2247704) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14908.675338237: (+4852)  sched_switch:         stress:3673 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.675385070: (+46833) sched_switch:         ngrok:553 [120] S ==> stress:3673 [120]
          stress-3673  [002] 14908.676426922: (+1041852) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14908.676430903: (+3981)  sched_switch:         stress:3673 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14908.676458070: (+27167) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14908.676482514: (+24444) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14908.676500033: (+17519) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14908.685111811: (+8611778) sched_switch:         stress:3674 [120] R ==> stress:3675 [120]
