cpus=4
       trace-cmd-3233  [002] 14579.117623383:          sched_switch:         trace-cmd:3233 [120] S ==> trace-cmd:3240 [120]
           ngrok-517   [002] 14579.516936474: (+10037) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.516946715: (+10241) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.516953141: (+6426)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.516974159: (+21018) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.566021085: (+49046926) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.566026214: (+5129)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.566038085: (+11871) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.567087011: (+1048926) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.567091770: (+4759)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.567103196: (+11426) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.567114733: (+11537) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.567124826: (+10093) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.567131177: (+6351)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.567152788: (+21611) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.615875918: (+48723130) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.615884214: (+8296)  sched_switch:         swapper/2:0 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002] 14579.615896751: (+12537) sched_switch:         kcompactd0:43 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.616203455: (+306704) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.616208418: (+4963)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.616220548: (+12130) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.616230196: (+9648)  sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.616240362: (+10166) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.616246696: (+6334)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.616265770: (+19074) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.635884918: (+19619148) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.635891973: (+7055)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.635901677: (+9704)  sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.665316233: (+29414556) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.665321270: (+5037)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.665333603: (+12333) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.666382510: (+1048907) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.666387418: (+4908)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.666399325: (+11907) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.666410955: (+11630) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.666421214: (+10259) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.666427603: (+6389)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.666449325: (+21722) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.715496658: (+49047333) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.715501788: (+5130)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.715513992: (+12204) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.716562714: (+1048722) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.716567529: (+4815)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.716579380: (+11851) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.716589232: (+9852)  sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.716599010: (+9778)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.716605436: (+6426)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.716625862: (+20426) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.765672973: (+49047111) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.765678121: (+5148)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.765690769: (+12648) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.766739158: (+1048389) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.766744177: (+5019)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.766756232: (+12055) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.766768362: (+12130) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.766779251: (+10889) sched_switch:         ngrok:518 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.791817084: (+25037833) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.791822139: (+5055)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.791835325: (+13186) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.792884473: (+1049148) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.792889251: (+4778)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.792902288: (+13037) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.792925102: (+22814) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.792935639: (+10537) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.792942028: (+6389)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.792963195: (+21167) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.816010084: (+23046889) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.816015065: (+4981)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.816027047: (+11982) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.817075954: (+1048907) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.817080788: (+4834)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.817092602: (+11814) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.817104750: (+12148) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.817114788: (+10038) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.817121195: (+6407)  sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.817142750: (+21555) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.839893121: (+22750371) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.839903324: (+10203) sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.839914250: (+10926) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.866191639: (+26277389) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.866196621: (+4982)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.866209380: (+12759) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002] 14579.867258343: (+1048963) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.867263398: (+5055)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.867276880: (+13482) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
