cpus=4
           <...>-3239  [000] 14579.117612586:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
 brcmf_wdog/mmc1-237   [000] 14579.199900308: (+6351)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> trace-cmd:3237 [120]
       trace-cmd-3237  [000] 14579.199908419: (+8111)  sched_switch:         trace-cmd:3237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.216207271: (+16298852) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.216212345: (+5074)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.216221382: (+9037)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.226271827: (+10050445) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.226276716: (+4889)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.226284345: (+7629)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.266208271: (+39923926) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.266213049: (+4778)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.266220104: (+7055)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.276271771: (+10051667) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.276276604: (+4833)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.276284104: (+7500)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.316212086: (+39927982) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.316216919: (+4833)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.316226734: (+9815)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.326274808: (+10048074) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.326279623: (+4815)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
