cpus=4
           <...>-3239  [000] 14579.117612586:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
   task_server.a-3182  [003] 14579.134662494: (+1235611) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.134672235: (+9741)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.134681623: (+9388)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.135919790: (+1238167) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.135930142: (+10352) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.135939716: (+9574)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.137170623: (+1230907) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.137180364: (+9741)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.137189809: (+9445)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.138421142: (+1231333) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.138430809: (+9667)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.138440160: (+9351)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.139671235: (+1231075) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.139681031: (+9796)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.139690457: (+9426)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.140925772: (+1235315) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.140935846: (+10074) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.140945457: (+9611)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.142175827: (+1230370) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.142185568: (+9741)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.142197697: (+12129) sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [002] 14579.142207031: (+9334)  sched_wakeup:         trace-cmd:3240 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.142213179: (+6148)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:3240 [120]
       trace-cmd-3240  [002] 14579.142219846: (+6667)  sched_switch:         trace-cmd:3240 [120] S ==> swapper/2:0 [120]
   task_server.a-3182  [003] 14579.143432735: (+1212889) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.143442957: (+10222) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.143452623: (+9666)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
