CPU 3 is empty
cpus=4
 task_client_A.a-3360  [000] 14764.226024473:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14770.037850692: (+5463)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14770.037854506: (+3814)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14770.037864599: (+10093) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14770.080490432: (+42625833) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14770.080494265: (+3833)  sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14770.080498321: (+4056)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14770.080508377: (+10056) sched_switch:         kcompactd0:43 [120] S ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14770.080520895: (+12518) sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14770.592513319: (+511992424) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14770.592517949: (+4630)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14770.592526004: (+8055)  sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14771.104536521: (+512010517) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14771.104540150: (+3629)  sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14771.104543984: (+3834)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14771.104552336: (+8352)  sched_switch:         kcompactd0:43 [120] S ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14771.104559576: (+7240)  sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14771.616559704: (+512000128) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14771.616564389: (+4685)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
