cpus=4
          stress-2577  [002]  9175.383578886:          sched_switch:         stress:2577 [120] R ==> trace-cmd:2579 [120]
    kworker/2:1H-96    [002]  9175.488371681: (+64314) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.488400089: (+28408) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.501577644: (+13177555) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.501582089: (+4445)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.501604718: (+22629) sched_switch:         kworker/2:1H:96 [100] D ==> stress:2577 [120]
          stress-2577  [002]  9175.501609422: (+4704)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.501612422: (+3000)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.501639015: (+26593) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.501697755: (+58740) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.501729589: (+31834) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.514891218: (+13161629) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.514895607: (+4389)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.514923607: (+28000) sched_switch:         kworker/2:1H:96 [100] R ==> stress:2577 [120]
          stress-2577  [002]  9175.514928570: (+4963)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.514931700: (+3130)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.514952126: (+20426) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.515005163: (+53037) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.515029941: (+24778) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.528206552: (+13176611) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.528209848: (+3296)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.528229292: (+19444) sched_switch:         kworker/2:1H:96 [100] D ==> stress:2577 [120]
