cpus=4
   task_server.a-3182  [003] 14601.960572407:          sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
   task_server.a-3182  [003] 14602.028511277: (+1244796) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.028521777: (+10500) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.028531758: (+9981)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.029780647: (+1248889) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.029790869: (+10222) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.029800869: (+10000) sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.031044055: (+1243186) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.031054481: (+10426) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.031064444: (+9963)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.032296425: (+1231981) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.032306444: (+10019) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.032316184: (+9740)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.033550814: (+1234630) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.033560777: (+9963)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.033570555: (+9778)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.034811777: (+1241222) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.034822110: (+10333) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.034831888: (+9778)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.036066518: (+1234630) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.036076555: (+10037) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.036087981: (+11426) sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.037323184: (+1235203) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.037333166: (+9982)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14602.037342906: (+9740)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14602.038588906: (+1246000) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14602.038599592: (+10686) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
