cpus=4
       trace-cmd-3276  [002] 14601.959526296:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
          stress-3284  [000] 14601.960767777: (+8500)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.960771425: (+3648)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960780222: (+8797)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.960788888: (+8666)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.960792573: (+3685)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960801351: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.960809925: (+8574)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.960813499: (+3574)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960828092: (+14593) sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.960837388: (+9296)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.960841166: (+3778)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960850055: (+8889)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.960858685: (+8630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.960862314: (+3629)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960871370: (+9056)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.960879925: (+8555)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.960883481: (+3556)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960892296: (+8815)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.960900851: (+8555)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.960904481: (+3630)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960913240: (+8759)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.960921851: (+8611)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.960925536: (+3685)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960934444: (+8908)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.960943351: (+8907)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.960946796: (+3445)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960960481: (+13685) sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.960969444: (+8963)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.960973129: (+3685)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.960981999: (+8870)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.960990629: (+8630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.960994203: (+3574)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961003240: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.961011962: (+8722)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.961015592: (+3630)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
