cpus=4
          stress-3142  [001] 14544.346176071:          sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14544.429234589: (+35666) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.442316700: (+13082111) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.442329922: (+13222) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.442364793: (+34871) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.442370478: (+5685)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.442374145: (+3667)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.442394422: (+20277) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.442437645: (+43223) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.442463997: (+26352) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14544.442469478: (+5481)  sched_switch:         ksoftirqd/1:18 [120] S ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14544.442484774: (+15296) sched_wakeup:         kworker/1:2H:2882 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14544.442596497: (+111723) sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14544.442884015: (+287518) sched_switch:         kworker/u8:1:2871 [120] D ==> kworker/1:2H:2882 [100]
    kworker/1:2H-2882  [001] 14544.442893830: (+9815)  sched_switch:         kworker/1:2H:2882 [100] W ==> stress:3144 [120]
          stress-3144  [001] 14544.442911441: (+17611) sched_switch:         stress:3144 [120] D ==> stress:3142 [120]
          stress-3142  [001] 14544.455583589: (+12672148) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.455595126: (+11537) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.455630200: (+35074) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.455635367: (+5167)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.455638700: (+3333)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.455659996: (+21296) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.455702848: (+42852) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.455728645: (+25797) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.465595663: (+9867018) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.465607571: (+11908) sched_switch:         stress:3142 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14544.465686385: (+78814) sched_switch:         ngrok:517 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.468856422: (+3170037) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.468866071: (+9649)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.468894052: (+27981) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.468898367: (+4315)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.468901645: (+3278)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.468923589: (+21944) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.468965885: (+42296) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.468987293: (+21408) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.482109182: (+13121889) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.482120700: (+11518) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
