cpus=4
          stress-3142  [001] 14544.346176071:          sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.017266631: (+8056)  sched_switch:         stress:3143 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.017367353: (+100722) sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14548.017870483: (+503130) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3144 [120]
          stress-3144  [001] 14548.017917224: (+46741) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.017949631: (+32407) sched_switch:         stress:3144 [120] D ==> stress:3141 [120]
          stress-3141  [001] 14548.017959038: (+9407)  sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.017986038: (+27000) sched_switch:         stress:3141 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.018016020: (+29982) sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.022787557: (+4771537) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.022789298: (+1741)  sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.022791742: (+2444)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.022794650: (+2908)  sched_switch:         stress:3143 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.022863446: (+68796) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.022869224: (+5778)  sched_switch:         stress:3138 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.022917168: (+47944) sched_switch:         kworker/1:1H:91 [100] D ==> stress:3141 [120]
          stress-3141  [001] 14548.022930853: (+13685) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.022941057: (+10204) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.022963983: (+22926) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.022974353: (+10370) sched_switch:         stress:3138 [120] D ==> stress:3141 [120]
          stress-3141  [001] 14548.022980020: (+5667)  sched_switch:         stress:3141 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.024940779: (+1960759) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.024943501: (+2722)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.024955668: (+12167) sched_switch:         kworker/1:1H:91 [100] D ==> stress:3143 [120]
          stress-3143  [001] 14548.024959131: (+3463)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.024961946: (+2815)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.024973594: (+11648) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14548.024983094: (+9500)  sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14548.025000427: (+17333) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14548.025007464: (+7037)  sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3138 [120]
          stress-3138  [001] 14548.025012298: (+4834)  sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.027003168: (+1990870) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.027005853: (+2685)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.027017187: (+11334) sched_switch:         kworker/1:1H:91 [100] D ==> stress:3143 [120]
          stress-3143  [001] 14548.027021279: (+4092)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.027023538: (+2259)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.027033038: (+9500)  sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14548.027039520: (+6482)  sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14548.027048372: (+8852)  sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14548.027053835: (+5463)  sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3138 [120]
          stress-3138  [001] 14548.027058705: (+4870)  sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.029166168: (+2107463) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.029170742: (+4574)  sched_switch:         stress:3143 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.029178668: (+7926)  sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.029182390: (+3722)  sched_switch:         stress:3138 [120] D ==> stress:3141 [120]
          stress-3141  [001] 14548.029186687: (+4297)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.029219538: (+32851) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.029224094: (+4556)  sched_switch:         stress:3141 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.029257909: (+33815) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3144 [120]
          stress-3144  [001] 14548.029277890: (+19981) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.034480816: (+5202926) sched_switch:         stress:3144 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.042498742: (+8017926) sched_switch:         stress:3138 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.050481520: (+7982778) sched_switch:         stress:3141 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.058491094: (+8009574) sched_switch:         stress:3144 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.062501075: (+4009981) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.062527335: (+26260) sched_switch:         stress:3141 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14548.062554390: (+27055) sched_switch:         kworker/1:2:2867 [120] W ==> stress:3138 [120]
          stress-3138  [001] 14548.070491335: (+7936945) sched_switch:         stress:3138 [120] R ==> stress:3143 [120]
          stress-3143  [001] 14548.078478853: (+7987518) sched_switch:         stress:3143 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.086487834: (+8008981) sched_switch:         stress:3141 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.094493279: (+8005445) sched_switch:         stress:3144 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.101820908: (+7327629) sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.106518501: (+4697593) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.108948334: (+2429833) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.108954612: (+6278)  sched_switch:         stress:3143 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.109778723: (+824111) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14548.109791001: (+12278) sched_switch:         kworker/u8:1:2871 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.109926668: (+135667) sched_switch:         kworker/1:1H:91 [100] W ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.109955371: (+28703) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14548.109958834: (+3463)  sched_switch:         kworker/u8:1:2871 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.109986742: (+27908) sched_switch:         kworker/1:1H:91 [100] D ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.110027742: (+41000) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3141 [120]
          stress-3141  [001] 14548.110047668: (+19926) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.110129464: (+81796) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.110159057: (+29593) sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.118521871: (+8362814) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.118524538: (+2667)  sched_switch:         stress:3143 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.118534279: (+9741)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.118575853: (+41574) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.118585297: (+9444)  sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.118589779: (+4482)  sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.118595501: (+5722)  sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.118685353: (+89852) sched_wakeup:         kworker/1:2H:2882 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.118687927: (+2574)  sched_switch:         stress:3143 [120] R ==> kworker/1:2H:2882 [100]
    kworker/1:2H-2882  [001] 14548.118695094: (+7167)  sched_switch:         kworker/1:2H:2882 [100] W ==> stress:3143 [120]
          stress-3143  [001] 14548.124030908: (+5335814) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.124033964: (+3056)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.124056316: (+22352) sched_switch:         kworker/1:1H:91 [100] D ==> stress:3143 [120]
          stress-3143  [001] 14548.124059908: (+3592)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.124064168: (+4260)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.124082742: (+18574) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14548.124106445: (+23703) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14548.124126168: (+19723) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3143 [120]
          stress-3143  [001] 14548.132054260: (+7928092) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.132061186: (+6926)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.132085168: (+23982) sched_switch:         kworker/1:1H:91 [100] D ==> stress:3143 [120]
          stress-3143  [001] 14548.132089816: (+4648)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.132092242: (+2426)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.132115019: (+22777) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14548.132133797: (+18778) sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14548.132151131: (+17334) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14548.132160853: (+9722)  sched_switch:         ksoftirqd/1:18 [120] S ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.132219390: (+58537) sched_switch:         kworker/u8:1:2871 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.134501668: (+2282278) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.134504353: (+2685)  sched_switch:         stress:3143 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.135128464: (+624111) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3143 [120]
          stress-3143  [001] 14548.135135964: (+7500)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.135139686: (+3722)  sched_switch:         stress:3143 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.135152705: (+13019) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.135184168: (+31463) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.135214445: (+30277) sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.136705853: (+1491408) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.136707001: (+1148)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.136709742: (+2741)  sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.136712853: (+3111)  sched_switch:         stress:3143 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.136718853: (+6000)  sched_switch:         stress:3138 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.136724482: (+5629)  sched_switch:         stress:3144 [120] D ==> stress:3141 [120]
          stress-3141  [001] 14548.136812482: (+88000) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.136819334: (+6852)  sched_switch:         stress:3141 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.136825464: (+6130)  sched_switch:         kworker/1:1H:91 [100] W ==> stress:3141 [120]
          stress-3141  [001] 14548.136853686: (+28222) sched_switch:         stress:3141 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.143442519: (+6588833) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.143455371: (+12852) sched_switch:         stress:3143 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.143512631: (+57260) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.143519631: (+7000)  sched_switch:         stress:3141 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.143570760: (+51129) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3141 [120]
          stress-3141  [001] 14548.143634149: (+63389) sched_switch:         stress:3141 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.145589501: (+1955352) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.145590890: (+1389)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.145593816: (+2926)  sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.145596575: (+2759)  sched_switch:         stress:3143 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.145667186: (+70611) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.145678112: (+10926) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.145688001: (+9889)  sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.145715816: (+27815) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.145718168: (+2352)  sched_switch:         stress:3143 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.145723390: (+5222)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.145732631: (+9241)  sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.145736019: (+3388)  sched_switch:         stress:3144 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.147842482: (+2106463) sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.147844779: (+2297)  sched_switch:         stress:3143 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.147849056: (+4277)  sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.147874353: (+25297) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.147878260: (+3907)  sched_switch:         stress:3144 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.147895834: (+17574) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3138 [120]
          stress-3138  [001] 14548.147900334: (+4500)  sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.154480556: (+6580222) sched_switch:         stress:3138 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.154494149: (+13593) sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:000
          stress-3141  [001] 14548.162482149: (+7988000) sched_switch:         stress:3141 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.166551945: (+4069796) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.166562205: (+10260) sched_switch:         stress:3138 [120] D ==> stress:3141 [120]
          stress-3141  [001] 14548.166599686: (+37481) sched_switch:         stress:3141 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.182492945: (+15893259) sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.182496001: (+3056)  sched_switch:         stress:3143 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.182506371: (+10370) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.190512686: (+8006315) sched_switch:         stress:3144 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.190538834: (+26148) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.198510334: (+7971500) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.198521538: (+11204) sched_switch:         stress:3138 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.198537871: (+16333) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3141 [120]
          stress-3141  [001] 14548.210483334: (+11945463) sched_switch:         stress:3141 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.218504130: (+8020796) sched_switch:         stress:3138 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.222487760: (+3983630) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.222494556: (+6796)  sched_switch:         stress:3144 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14548.222529427: (+34871) sched_switch:         kworker/1:2:2867 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.222545575: (+16148) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.222548760: (+3185)  sched_switch:         stress:3143 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14548.222565519: (+16759) sched_switch:         kworker/1:2:2867 [120] W ==> stress:3143 [120]
          stress-3143  [001] 14548.230492167: (+7926648) sched_switch:         stress:3143 [120] R ==> stress:3141 [120]
          stress-3141  [001] 14548.230518834: (+26667) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.230542927: (+24093) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.230565315: (+22388) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.230573297: (+7982)  sched_switch:         stress:3138 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.230610297: (+37000) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3138 [120]
          stress-3138  [001] 14548.230638704: (+28407) sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.235227927: (+4589223) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.235230686: (+2759)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.235232260: (+1574)  sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.235235427: (+3167)  sched_switch:         stress:3143 [120] R ==> stress:3144 [120]
          stress-3144  [001] 14548.235292075: (+56648) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.235297352: (+5277)  sched_switch:         stress:3144 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.235438075: (+140723) sched_switch:         kworker/u8:1:2871 [120] D ==> stress:3141 [120]
          stress-3141  [001] 14548.235478371: (+40296) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.235489371: (+11000) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.235493667: (+4296)  sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.237531278: (+2037611) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.237534075: (+2797)  sched_switch:         stress:3143 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.238147149: (+613074) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14548.238155334: (+8185)  sched_switch:         kworker/u8:1:2871 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.238254112: (+98778) sched_switch:         kworker/1:1H:91 [100] D ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.238288223: (+34111) sched_wakeup:         kworker/1:2H:2882 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14548.238292778: (+4555)  sched_switch:         kworker/u8:1:2871 [120] R ==> kworker/1:2H:2882 [100]
    kworker/1:2H-2882  [001] 14548.238301667: (+8889)  sched_switch:         kworker/1:2H:2882 [100] W ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.238324408: (+22741) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14548.238340482: (+16074) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3141 [120]
          stress-3141  [001] 14548.238351426: (+10944) sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.238366575: (+15149) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.238378130: (+11555) sched_switch:         stress:3144 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.239669464: (+1291334) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.239679186: (+9722)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.239716075: (+36889) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3143 [120]
          stress-3143  [001] 14548.239723760: (+7685)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.239727593: (+3833)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.239816926: (+89333) sched_switch:         kworker/1:1H:91 [100] D ==> stress:3143 [120]
          stress-3143  [001] 14548.239829612: (+12686) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.239833334: (+3722)  sched_switch:         stress:3143 [120] R ==> stress:3138 [120]
          stress-3138  [001] 14548.239903464: (+70130) sched_switch:         stress:3138 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.250479871: (+10576407) sched_switch:         stress:3143 [120] R ==> stress:3146 [120]
          stress-3146  [001] 14548.250519223: (+39352) sched_switch:         stress:3146 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.254067371: (+3548148) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.254072945: (+5574)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.254103482: (+30537) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3143 [120]
          stress-3143  [001] 14548.254111186: (+7704)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.254114963: (+3777)  sched_switch:         stress:3143 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14548.254144204: (+29241) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14548.254165538: (+21334) sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14548.254197278: (+31740) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3143 [120]
          stress-3143  [001] 14548.262741315: (+8544037) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.262749000: (+7685)  sched_switch:         stress:3143 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14548.262822519: (+73519) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14548.263318482: (+495963) sched_switch:         kworker/u8:1:2871 [120] W ==> stress:3141 [120]
          stress-3141  [001] 14548.263336778: (+18296) sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14548.263383649: (+46871) sched_switch:         stress:3141 [120] D ==> stress:3144 [120]
          stress-3144  [001] 14548.263395815: (+12166) sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14548.263422352: (+26537) sched_switch:         stress:3144 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14548.263429834: (+7482)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:001
          stress-3138  [001] 14548.263455815: (+25981) sched_switch:         stress:3138 [120] D ==> stress:3146 [120]
          stress-3146  [001] 14548.263485667: (+29852) sched_switch:         stress:3146 [120] D ==> stress:3143 [120]
          stress-3143  [001] 14548.268114204: (+4628537) sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.268115649: (+1445)  sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3143  [001] 14548.268121000: (+5351)  sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
