cpus=4
          stress-3139  [002] 14544.346612275:          sched_switch:         stress:3139 [120] R ==> stress:3143 [120]
          stress-3145  [002] 14544.509230459: (+4537)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509232737: (+2278)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509237996: (+5259)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509243033: (+5037)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509245330: (+2297)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509250867: (+5537)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509255552: (+4685)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509257718: (+2166)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509263348: (+5630)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509268052: (+4704)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509270793: (+2741)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509278996: (+8203)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509282552: (+3556)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509285200: (+2648)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509289385: (+4185)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509294052: (+4667)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509296793: (+2741)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509301885: (+5092)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509306274: (+4389)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509308404: (+2130)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509313367: (+4963)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509317607: (+4240)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509319700: (+2093)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
