CPU 3 is empty
cpus=4
 task_client_A.a-2395  [000]  9093.707361901:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.237236784: (+13425926) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.237249728: (+12944) sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9095.237257413: (+7685)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.253231710: (+15974297) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.253237025: (+5315)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9095.253252062: (+15037) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.253261932: (+9870)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.253265821: (+3889)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9095.253272450: (+6629)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.268757358: (+15484908) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.268760987: (+3629)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.268780247: (+19260) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268807432: (+27185) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268828469: (+21037) sched_switch:         kworker/0:2:2219 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.268837024: (+8555)  sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.268840747: (+3723)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.268846376: (+5629)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268852339: (+5963)  sched_switch:         kworker/0:2:2219 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.268858080: (+5741)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.268861876: (+3796)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268864154: (+2278)  sched_switch:         kworker/0:2:2219 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.268877358: (+13204) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.268886802: (+9444)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268890413: (+3611)  sched_switch:         kworker/0:2:2219 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.268899413: (+9000)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.268908228: (+8815)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268911673: (+3445)  sched_switch:         kworker/0:2:2219 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.268936691: (+25018) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.268949339: (+12648) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268952802: (+3463)  sched_switch:         kworker/0:2:2219 [120] R ==> kworker/u9:3:569 [100]
