CPU 3 is empty
cpus=4
   task_server.a-2393  [002]  9093.707135419:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.562256067: (+9774055) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.562259179: (+3112)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9098.562268475: (+9296)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.601539252: (+39270777) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.601543123: (+3871)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9098.601558049: (+14926) sched_switch:         ngrok:552 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.602199938: (+641889) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.602203123: (+3185)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9098.602212197: (+9074)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.602606678: (+394481) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.602609771: (+3093)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9098.602620641: (+10870) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9098.602633234: (+12593) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9098.602642234: (+9000)  sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.605842456: (+3200222) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.605846623: (+4167)  sched_switch:         task_server.a:2393 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9098.606132808: (+286185) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9098.606137845: (+5037)  sched_switch:         kworker/u8:2:2035 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.606196419: (+58574) sched_switch:         kworker/2:1H:96 [100] D ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9098.606201752: (+5333)  sched_switch:         kworker/u8:2:2035 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.611664938: (+5463186) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.611667845: (+2907)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.611681752: (+13907) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.611686012: (+4260)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.611688456: (+2444)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.611700197: (+11741) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.611709364: (+9167)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.611737049: (+27685) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.612265104: (+528055) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.612268438: (+3334)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9098.612281215: (+12777) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.613845252: (+1564037) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.613848104: (+2852)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.613859808: (+11704) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.613864086: (+4278)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.613868215: (+4129)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.613877567: (+9352)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.613886586: (+9019)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.613900512: (+13926) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.615911104: (+2010592) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.615913752: (+2648)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.615925030: (+11278) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.615929289: (+4259)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.615931530: (+2241)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.615940382: (+8852)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.615948956: (+8574)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.615959049: (+10093) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.617974456: (+2015407) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.617977419: (+2963)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.617988864: (+11445) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.617992993: (+4129)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.617995456: (+2463)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.618004178: (+8722)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.618012660: (+8482)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.618023289: (+10629) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.623287012: (+5263723) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.623289845: (+2833)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.623301086: (+11241) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.623305567: (+4481)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.623307845: (+2278)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.623316419: (+8574)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.623325641: (+9222)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.623335901: (+10260) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.625348456: (+2012555) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.625351104: (+2648)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.625362012: (+10908) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.625366178: (+4166)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.625368530: (+2352)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.625377308: (+8778)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.625385975: (+8667)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.625396271: (+10296) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.627507419: (+2111148) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.627510197: (+2778)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.627521308: (+11111) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.627525493: (+4185)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.627527808: (+2315)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.627536586: (+8778)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.627545197: (+8611)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.627558401: (+13204) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.632821382: (+5262981) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.632824234: (+2852)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.632835345: (+11111) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.632839438: (+4093)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.632841734: (+2296)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.632850512: (+8778)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.632859178: (+8666)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.632869660: (+10482) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.638136697: (+5267037) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.638139401: (+2704)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.638150475: (+11074) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.638154863: (+4388)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.638157086: (+2223)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.638165678: (+8592)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.638174271: (+8593)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.638184493: (+10222) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.643448160: (+5263667) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.643450900: (+2740)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.643462160: (+11260) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.643466289: (+4129)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.643468530: (+2241)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.643477178: (+8648)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.643485715: (+8537)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.643495863: (+10148) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.645531771: (+2035908) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.645534345: (+2574)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.645545975: (+11630) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.645549512: (+3537)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.645552178: (+2666)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.645560863: (+8685)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.645569752: (+8889)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.645575567: (+5815)  sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
     ksoftirqd/2-23    [002]  9098.645583012: (+7445)  sched_switch:         ksoftirqd/2:23 [120] S ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9098.645606919: (+23907) sched_switch:         kworker/u8:2:2035 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.647594604: (+1987685) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.647597345: (+2741)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.647608456: (+11111) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.647612641: (+4185)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.647614919: (+2278)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.647623623: (+8704)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.647632104: (+8481)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.647642549: (+10445) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.649656604: (+2014055) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.649659141: (+2537)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.649670104: (+10963) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.649674215: (+4111)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.649676512: (+2297)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.649685215: (+8703)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.649693900: (+8685)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.649704030: (+10130) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.651690641: (+1986611) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.651694030: (+3389)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9098.651713660: (+19630) sched_switch:         ngrok:552 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.651719067: (+5407)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.651722012: (+2945)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.651732826: (+10814) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.651737530: (+4704)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.651739826: (+2296)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.651748826: (+9000)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.651757975: (+9149)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.651768086: (+10111) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.652210567: (+442481) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.652214086: (+3519)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9098.652225549: (+11463) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.652761993: (+536444) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.652765178: (+3185)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9098.652781956: (+16778) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9098.652794141: (+12185) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9098.652807771: (+13630) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9098.652815863: (+8092)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9098.652837808: (+21945) sched_switch:         ngrok:552 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.653787993: (+950185) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.653790752: (+2759)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.653802252: (+11500) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.653806400: (+4148)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.653808715: (+2315)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.653818067: (+9352)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.653827252: (+9185)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.653838178: (+10926) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.655856993: (+2018815) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.655859660: (+2667)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.655870771: (+11111) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.655875141: (+4370)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.655877456: (+2315)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.655886123: (+8667)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.655894752: (+8629)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.655899845: (+5093)  sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
     ksoftirqd/2-23    [002]  9098.655907234: (+7389)  sched_switch:         ksoftirqd/2:23 [120] S ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9098.656026289: (+119055) sched_wakeup:         kworker/2:2H:2243 [100]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9098.656030437: (+4148)  sched_switch:         kworker/u8:2:2035 [120] R ==> kworker/2:2H:2243 [100]
    kworker/2:2H-2243  [002]  9098.656037586: (+7149)  sched_switch:         kworker/2:2H:2243 [100] W ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9098.656041771: (+4185)  sched_switch:         kworker/u8:2:2035 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.657919900: (+1878129) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.657922715: (+2815)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.657934697: (+11982) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.657938919: (+4222)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.657941234: (+2315)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.657951808: (+10574) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.657960641: (+8833)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.657966308: (+5667)  sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
     ksoftirqd/2-23    [002]  9098.657974882: (+8574)  sched_switch:         ksoftirqd/2:23 [120] S ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9098.658339530: (+364648) sched_wakeup:         kworker/2:2H:2243 [100]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2035  [002]  9098.658343771: (+4241)  sched_switch:         kworker/u8:2:2035 [120] R ==> kworker/2:2H:2243 [100]
    kworker/2:2H-2243  [002]  9098.658348549: (+4778)  sched_switch:         kworker/2:2H:2243 [100] W ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9098.658354141: (+5592)  sched_switch:         kworker/u8:2:2035 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.659984104: (+1629963) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.659986900: (+2796)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.659998567: (+11667) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.660002882: (+4315)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.660005160: (+2278)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.660014382: (+9222)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.660023474: (+9092)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.660036178: (+12704) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.661958604: (+1922426) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.661961197: (+2593)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.661972623: (+11426) sched_switch:         kworker/2:1H:96 [100] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.661976660: (+4037)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.661978919: (+2259)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9098.661987808: (+8889)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9098.661996678: (+8870)  sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9098.662007252: (+10574) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.662278512: (+271260) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.662281826: (+3314)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9098.662295900: (+14074) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.665850178: (+3554278) sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9098.665855530: (+5352)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9098.665873123: (+17593) sched_switch:         kworker/2:2:2220 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9098.667312512: (+1439389) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
