CPU 3 is empty
cpus=4
   task_server.a-2393  [002]  9093.707135419:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.933541955: (+21553666) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.933546215: (+4260)  sched_switch:         task_server.a:2393 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002]  9093.933559289: (+13074) sched_switch:         kcompactd0:43 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.951252604: (+17693315) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.951255955: (+3351)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9093.951270844: (+14889) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.951898863: (+628019) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.951902178: (+3315)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.951911252: (+9074)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.952319085: (+407833) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.952321992: (+2907)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9093.952335381: (+13389) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9093.952345548: (+10167) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9093.952355604: (+10056) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9093.952362789: (+7185)  sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9093.952382178: (+19389) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.961959974: (+9577796) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.961963270: (+3296)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9093.961972826: (+9556)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.965544029: (+3571203) sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.965547326: (+3297)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.965550307: (+2981)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9093.965559418: (+9111)  sched_switch:         kworker/2:2:2220 [120] W ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9093.965574289: (+14871) sched_switch:         ksoftirqd/2:23 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9093.973531529: (+7957240) sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9093.973536752: (+5223)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9093.973547696: (+10944) sched_switch:         kworker/2:2:2220 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.001420640: (+27872944) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.001423992: (+3352)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.001439400: (+15408) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.001886900: (+447500) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.001889955: (+3055)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.001899085: (+9130)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.002487881: (+588796) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.002490900: (+3019)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.002502585: (+11685) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9094.002515214: (+12629) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9094.002524159: (+8945)  sched_switch:         ngrok:552 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.011948344: (+9424185) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.011951603: (+3259)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.011960992: (+9389)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.051553177: (+39592185) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.051556511: (+3334)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.051571455: (+14944) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.051875085: (+303630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.051878177: (+3092)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.051887122: (+8945)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.052620270: (+733148) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.052623288: (+3018)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.052636418: (+13130) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9094.052646103: (+9685)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9094.052656344: (+10241) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9094.052663307: (+6963)  sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9094.052682474: (+19167) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
