CPU 3 is empty
cpus=4
 task_client_B.a-2965  [000] 14461.426506313:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-2988  [001] 14461.505069146: (+8444)  sched_switch:         trace-cmd:2988 [120] S ==> task_client_A.a:2963 [120]
 task_client_B.a-2965  [000] 14461.505251017: (+181871) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.505254813: (+3796)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.505272683: (+17870) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
   task_server.a-2961  [002] 14461.505366535: (+93852) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.505369906: (+3371)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.505379868: (+9962)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
 task_client_B.a-2965  [000] 14461.506320924: (+941056) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.506324831: (+3907)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.506340850: (+16019) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000] 14461.506354239: (+13389) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [000] 14461.506367331: (+13092) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000] 14461.506375665: (+8334)  sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [000] 14461.506397091: (+21426) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
   task_server.a-2961  [002] 14461.515433350: (+9036259) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.515436461: (+3111)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.515446239: (+9778)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
 task_client_B.a-2965  [000] 14461.554466442: (+39020203) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.554470387: (+3945)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.554485183: (+14796) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
   task_server.a-2961  [002] 14461.555386183: (+901000) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14461.555389831: (+3648)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14461.555400257: (+10426) sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
 task_client_B.a-2965  [000] 14461.555534313: (+134056) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.555538072: (+3759)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.555551887: (+13815) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000] 14461.555562516: (+10629) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [000] 14461.555573276: (+10760) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000] 14461.555580183: (+6907)  sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [000] 14461.555600053: (+19870) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
 task_client_A.a-2963  [001] 14461.557026387: (+1426334) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14461.557030628: (+4241)  sched_switch:         task_client_A.a:2963 [120] R ==> kworker/1:2:2867 [120]
     kworker/1:2-2867  [001] 14461.557057442: (+26814) sched_switch:         kworker/1:2:2867 [120] D ==> task_client_A.a:2963 [120]
