CPU 3 is empty
cpus=4
 task_client_A.a-2963  [001] 14461.505053850:          sched_wakeup:         trace-cmd:2988 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.309366973: (+13741) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.310416325: (+1049352) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.310419880: (+3555)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.310434047: (+14167) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.310607769: (+173722) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.310621899: (+14130) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.310630232: (+8333)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.310651528: (+21296) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.355717973: (+45066445) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.355721658: (+3685)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.355736232: (+14574) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.356785232: (+1049000) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.356789084: (+3852)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.356803158: (+14074) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.356815380: (+12222) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.356826065: (+10685) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.356833121: (+7056)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.356854843: (+21722) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.357747991: (+893148) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.357751435: (+3444)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.357837287: (+85852) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.357848806: (+11519) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.357851750: (+2944)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.357877954: (+26204) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.357975732: (+97778) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.357989176: (+13444) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.357997843: (+8667)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.358018917: (+21074) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.364202824: (+6183907) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.364206269: (+3445)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.364241417: (+35148) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.364348972: (+107555) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.364362047: (+13075) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.364369732: (+7685)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.364390935: (+21203) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.405455898: (+41064963) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.405459750: (+3852)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.405475676: (+15926) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.406524287: (+1048611) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.406527972: (+3685)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.406543083: (+15111) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.406554861: (+11778) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.406565861: (+11000) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.406573009: (+7148)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.406593620: (+20611) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.408572787: (+1979167) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.408575787: (+3000)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.408628028: (+52241) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.455694750: (+47066722) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.455698324: (+3574)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.455713509: (+15185) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.456762157: (+1048648) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.456765880: (+3723)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.456780509: (+14629) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.456793120: (+12611) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.456804917: (+11797) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.456812157: (+7240)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.456832917: (+20760) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.505901676: (+49068759) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.505905268: (+3592)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.505919861: (+14593) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.506968916: (+1049055) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.506972583: (+3667)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.506986231: (+13648) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
