CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.230785593: (+3963)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.230787926: (+2333)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.230796870: (+8944)  sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.230805111: (+8241)  sched_switch:         kworker/1:1H:91 [100] W ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.230814945: (+9834)  sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.230819852: (+4907)  sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2466 [120]
          stress-2466  [001]  9116.230824815: (+4963)  sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.236114963: (+5290148) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.236572685: (+457722) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.236584907: (+12222) sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.242935852: (+6350945) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.242939463: (+3611)  sched_switch:         task_server.a:2393 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.242949593: (+10130) sched_wakeup:         kworker/u8:1:2244 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.243112315: (+162722) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2035  [001]  9116.243117907: (+5592)  sched_switch:         kworker/u8:2:2035 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.243158870: (+40963) sched_switch:         kworker/1:1H:91 [100] W ==> kworker/u8:1:2244 [120]
    kworker/u8:1-2244  [001]  9116.243164500: (+5630)  sched_switch:         kworker/u8:1:2244 [120] W ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.243185722: (+21222) sched_switch:         kworker/u8:2:2035 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.243599519: (+413797) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.243919389: (+319870) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.243943167: (+23778) sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.249043704: (+5100537) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.249052796: (+9092)  sched_switch:         task_server.a:2393 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [001]  9116.249128759: (+75963) sched_switch:         kworker/u8:2:2035 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.252658222: (+3529463) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.253063685: (+405463) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.253099444: (+35759) sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.253958000: (+858556) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.253962000: (+4000)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.253982852: (+20852) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.259789889: (+5807037) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.260204444: (+414555) sched_switch:         task_server.a:2393 [120] R ==> stress:2466 [120]
          stress-2466  [001]  9116.260260463: (+56019) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-2466  [001]  9116.260265722: (+5259)  sched_switch:         stress:2466 [120] R ==> kworker/1:1H:91 [100]
