CPU 3 is empty
cpus=4
          stress-2461  [002]  9116.199605241:          sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.353025629: (+1434166) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.353029629: (+4000)  sched_switch:         task_client_A.a:2395 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.353070981: (+41352) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.353527222: (+456241) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
 task_client_A.a-2395  [002]  9116.353839907: (+312685) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.354114518: (+274611) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2460  [002]  9116.354118944: (+4426)  sched_switch:         stress:2460 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.354140148: (+21204) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.354161796: (+21648) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.354175629: (+13833) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.354339333: (+163704) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.359591814: (+5252481) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.362724092: (+3132278) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.367603870: (+4879778) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.370551777: (+2947907) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.375608666: (+5056889) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.378699888: (+3091222) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.383608999: (+4909111) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.386617999: (+3009000) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.391593259: (+4975260) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.394598314: (+3005055) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.399590833: (+4992519) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.402602666: (+3011833) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.403213573: (+610907) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.403217536: (+3963)  sched_switch:         stress:2459 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.403255740: (+38204) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.403627407: (+371667) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.404300518: (+673111) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.404303740: (+3222)  sched_switch:         stress:2459 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.404327648: (+23908) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.404346092: (+18444) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.404365685: (+19593) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9116.404378203: (+12518) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9116.404404425: (+26222) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.404811740: (+407315) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.407619055: (+2807315) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.409316499: (+1697444) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.411613851: (+2297352) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.412962444: (+1348593) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.415605462: (+2643018) sched_wakeup:         kworker/2:1:2180 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.415612870: (+7408)  sched_switch:         stress:2459 [120] R ==> kworker/2:1:2180 [120]
     kworker/2:1-2180  [002]  9116.415642814: (+29944) sched_switch:         kworker/2:1:2180 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.417208444: (+1565630) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.419596185: (+2387741) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.421007666: (+1411481) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.423608685: (+2601019) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.425157314: (+1548629) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.427594759: (+2437445) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.429074092: (+1479333) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.431618796: (+2544704) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.433172981: (+1554185) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.435595073: (+2422092) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.437081944: (+1486871) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.437098018: (+16074) sched_switch:         stress:2460 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.437109870: (+11852) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2465 [120]
          stress-2465  [002]  9116.439594110: (+2484240) sched_switch:         stress:2465 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.441128351: (+1534241) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.441744481: (+616130) sched_wakeup:         stress:2460 [120]<CANT FIND FIELD success> CPU:002
          stress-2461  [002]  9116.443611425: (+1866944) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.445164703: (+1553278) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.447597203: (+2432500) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.449121370: (+1524167) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.451612629: (+2491259) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.453177796: (+1565167) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.453463647: (+285851) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2459  [002]  9116.453468518: (+4871)  sched_switch:         stress:2459 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.453513944: (+45426) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.453687462: (+173518) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.454556851: (+869389) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2460  [002]  9116.454561184: (+4333)  sched_switch:         stress:2460 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.454586573: (+25389) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.454610814: (+24241) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.454628055: (+17241) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.455178203: (+550148) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.459592981: (+4414778) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.462386203: (+2793222) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.463599536: (+1213333) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          stress-2460  [002]  9116.463605388: (+5852)  sched_switch:         stress:2460 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002]  9116.463621499: (+16111) sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.464407555: (+786056) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.467615221: (+3207666) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.470168055: (+2552834) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.475600332: (+5432277) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.479957203: (+4356871) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.483620518: (+3663315) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.486558406: (+2937888) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.491613277: (+5054871) sched_switch:         stress:2459 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.495702166: (+4088889) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.499615962: (+3913796) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.502788295: (+3172333) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.503670666: (+882371) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2464  [002]  9116.503676647: (+5981)  sched_switch:         stress:2464 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.503727906: (+51259) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.504441869: (+713963) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.504778962: (+337093) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          stress-2464  [002]  9116.504783592: (+4630)  sched_switch:         stress:2464 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9116.504814777: (+31185) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9116.504838129: (+23352) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9116.504860666: (+22537) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9116.504874462: (+13796) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9116.504902684: (+28222) sched_switch:         ngrok:517 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.505176943: (+274259) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.507629536: (+2452593) sched_switch:         stress:2464 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.509621425: (+1991889) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2460 [120]
          stress-2460  [002]  9116.515597351: (+5975926) sched_switch:         stress:2460 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.520496851: (+4899500) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2461 [120]
          stress-2461  [002]  9116.523618258: (+3121407) sched_switch:         stress:2461 [120] R ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.526171721: (+2553463) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2464 [120]
          stress-2464  [002]  9116.531631184: (+5459463) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-2464  [002]  9116.531644092: (+12908) sched_switch:         stress:2464 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002]  9116.531671036: (+26944) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [002]  9116.536150295: (+4479259) sched_switch:         task_client_A.a:2395 [120] R ==> stress:2459 [120]
          stress-2459  [002]  9116.536168110: (+17815) sched_wakeup:         avahi-daemon:382 [120]<CANT FIND FIELD success> CPU:002
