CPU 3 is empty
cpus=4
          stress-3035  [001] 14483.547264081:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
          stress-3033  [001] 14483.563316395: (+2888)  sched_switch:         stress:3033 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14483.563329192: (+12797) sched_switch:         ngrok:515 [120] S ==> task_client_A.a:2963 [120]
           ngrok-517   [000] 14483.563342007: (+12815) sched_switch:         ngrok:517 [120] S ==> task_client_B.a:2965 [120]
 task_client_A.a-2963  [001] 14483.563359784: (+17777) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3027 [120]
   task_server.a-2961  [002] 14483.563419118: (+59334) sched_switch:         task_server.a:2961 [120] R ==> trace-cmd:3039 [120]
       trace-cmd-3039  [002] 14483.564399525: (+980407) sched_switch:         trace-cmd:3039 [120] S ==> task_server.a:2961 [120]
 task_client_B.a-2965  [000] 14483.564976562: (+577037) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3030 [120]
   task_server.a-2961  [002] 14483.565667618: (+691056) sched_switch:         task_server.a:2961 [120] R ==> trace-cmd:3038 [120]
       trace-cmd-3038  [002] 14483.566194507: (+526889) sched_switch:         trace-cmd:3038 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14483.567449321: (+1254814) sched_switch:         task_server.a:2961 [120] R ==> stress:3036 [120]
          stress-3027  [001] 14483.567498969: (+49648) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
          stress-3027  [001] 14483.567502710: (+3741)  sched_switch:         stress:3027 [120] R ==> kworker/u8:2:2863 [120]
          stress-3036  [002] 14483.567509284: (+6574)  sched_switch:         stress:3036 [120] D ==> stress:3029 [120]
    kworker/u8:2-2863  [001] 14483.567663507: (+154223) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:2-2863  [001] 14483.567669895: (+6388)  sched_switch:         kworker/u8:2:2863 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14483.567733932: (+64037) sched_switch:         kworker/1:1H:91 [100] W ==> kworker/u8:2:2863 [120]
