CPU 3 is empty
cpus=4
 task_client_B.a-3362  [001] 14786.320756129:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3429  [001] 14786.348115944: (+11741) sched_switch:         stress:3429 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.349315574: (+1199630) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.349320352: (+4778)  sched_switch:         task_client_B.a:3362 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14786.349333981: (+13629) sched_switch:         rcu_preempt:13 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.352472963: (+3138982) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.352516574: (+43611) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3433  [001] 14786.352521777: (+5203)  sched_switch:         stress:3433 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.352561389: (+39612) sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.352600944: (+39555) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.352655463: (+54519) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.352709814: (+54351) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.357308111: (+4598297) sched_switch:         stress:3430 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.357482685: (+174574) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.357484555: (+1870)  sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.361448203: (+3963648) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.361456074: (+7871)  sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.361463185: (+7111)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.361485074: (+21889) sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.361509259: (+24185) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3427 [120]
          stress-3427  [001] 14786.365318074: (+3808815) sched_switch:         stress:3427 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.367666074: (+2348000) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.367674222: (+8148)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.367678148: (+3926)  sched_switch:         task_client_B.a:3362 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14786.367697981: (+19833) sched_switch:         ngrok:515 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.368636685: (+938704) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.368650833: (+14148) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.368661926: (+11093) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3427 [120]
          stress-3427  [001] 14786.370467666: (+1805740) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3427  [001] 14786.370471037: (+3371)  sched_switch:         stress:3427 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.370552166: (+81129) sched_switch:         kworker/u8:1:2871 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.370736518: (+184352) sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.372084388: (+1347870) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.372089777: (+5389)  sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.372096574: (+6797)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3429 [120]
          stress-3429  [001] 14786.372668851: (+572277) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
          stress-3429  [001] 14786.372675166: (+6315)  sched_switch:         stress:3429 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.372701018: (+25852) sched_switch:         kworker/u8:1:2871 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.373187574: (+486556) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.377303963: (+4116389) sched_switch:         stress:3430 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.377750481: (+446518) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.377754425: (+3944)  sched_switch:         task_client_B.a:3362 [120] R ==> ngrok:515 [120]
           ngrok-515   [001] 14786.377777592: (+23167) sched_switch:         ngrok:515 [120] S ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.378891425: (+1113833) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.378894666: (+3241)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.379028925: (+134259) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
