CPU 3 is empty
cpus=4
       trace-cmd-3422  [002] 14786.320775407:          sched_switch:         trace-cmd:3422 [120] S ==> task_server.a:3358 [120]
          stress-3425  [002] 14786.397435203: (+64944) sched_switch:         stress:3425 [120] D ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.397466185: (+30982) sched_wakeup:         stress:3425 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.397625277: (+159092) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.397629018: (+3741)  sched_switch:         stress:3425 [120] D ==> stress:3424 [120]
          stress-3424  [002] 14786.401305685: (+3676667) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.405257574: (+3951889) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.409308351: (+4050777) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.414209536: (+4901185) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.415543092: (+1333556) sched_wakeup:         stress:3425 [120]<CANT FIND FIELD success> CPU:002
          stress-3424  [002] 14786.415546703: (+3611)  sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.417058814: (+1512111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.417067925: (+9111)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.417141740: (+73815) sched_switch:         ngrok:555 [120] S ==> stress:3425 [120]
          stress-3425  [002] 14786.417209981: (+68241) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:002
          stress-3425  [002] 14786.417216740: (+6759)  sched_switch:         stress:3425 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [002] 14786.417223036: (+6296)  sched_switch:         kworker/u8:2:2863 [120] W ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.417368740: (+145704) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.418176629: (+807889) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3425  [002] 14786.418180962: (+4333)  sched_switch:         stress:3425 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.418207203: (+26241) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14786.418230240: (+23037) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14786.418247611: (+17371) sched_switch:         ngrok:517 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.419154222: (+906611) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.425308629: (+6154407) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.433202073: (+7893444) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.437308185: (+4106112) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.442696722: (+5388537) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.445308370: (+2611648) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.448922721: (+3614351) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.448940444: (+17723) sched_switch:         stress:3425 [120] D ==> stress:3424 [120]
          stress-3424  [002] 14786.453307351: (+4366907) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.459233629: (+5926278) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.459819444: (+585815) sched_wakeup:         stress:3425 [120]<CANT FIND FIELD success> CPU:002
          stress-3424  [002] 14786.459822221: (+2777)  sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.460723184: (+900963) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.465310092: (+4586908) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
